,,,value,value
,,,mean,std
dataset,model,metric,,
boston_focused,gpr,mae,0.27715977505550127,0.12677319241458512
boston_focused,gpr,nlpd,31070.328815564244,98210.96996077316
boston_focused,gpr,rmse,0.3783461173483825,0.13435292198109275
boston_focused,gpr,training_time,2.854189612501068,1.2619387934495434
boston_focused,rtgpr_irq,mae,0.22721614715901212,0.031461502141080955
boston_focused,rtgpr_irq,nlpd,12.493303147135727,2.9200863237963754
boston_focused,rtgpr_irq,rmse,0.33251034271222096,0.03249289762392947
boston_focused,rtgpr_irq,training_time,11.83932693329989,6.632619293403962
boston_focused,t_vgp,mae,0.25720462537657895,0.012811137189611818
boston_focused,t_vgp,nlpd,12.548191143105589,1.2855050691155077
boston_focused,t_vgp,rmse,0.36269972264837236,0.02073192204019168
boston_focused,t_vgp,training_time,33.95554640000046,0.7809930590758228
energy_focused,gpr,mae,0.06323172162124269,0.06565800117750972
energy_focused,gpr,nlpd,250934.76115846317,793559.1893817612
energy_focused,gpr,rmse,0.08600042356444505,0.08522894874843708
energy_focused,gpr,training_time,3.3117481625056824,1.4225980791793762
energy_focused,rtgpr_irq,mae,0.02310844953744652,0.0024421563235032017
energy_focused,rtgpr_irq,nlpd,-149.17560489158907,6.789371664095485
energy_focused,rtgpr_irq,rmse,0.03356456373774527,0.003243678373512039
energy_focused,rtgpr_irq,training_time,10.1381700695557,3.3376552550948113
energy_focused,t_vgp,mae,0.030266836699554878,0.00036168843856375973
energy_focused,t_vgp,nlpd,-134.34072425656,0.5801889496675232
energy_focused,t_vgp,rmse,0.0410596207765705,0.0005840677068999157
energy_focused,t_vgp,training_time,68.27917951230192,0.9756184223804848
synthetic_focused,gpr,mae,0.19519583762235268,3.981603386794685e-07
synthetic_focused,gpr,nlpd,24.712500085857396,1.474612102251358e-05
synthetic_focused,gpr,rmse,0.46840073461171083,2.0536719694238025e-07
synthetic_focused,gpr,training_time,1.0210242332948838,0.013871265249309197
synthetic_focused,rtgpr_irq,mae,0.16599793115766498,1.1594484447385011e-07
synthetic_focused,rtgpr_irq,nlpd,24.050999579816697,2.4131847566132702e-05
synthetic_focused,rtgpr_irq,rmse,0.2907902122790092,1.318730807390122e-07
synthetic_focused,rtgpr_irq,training_time,1.436694158098544,0.029067214743993906
synthetic_focused,t_vgp,mae,0.20900938105430286,6.432122688215281e-06
synthetic_focused,t_vgp,nlpd,22.369051276863953,0.00025415361361703004
synthetic_focused,t_vgp,rmse,0.516494760243223,9.872183181015657e-06
synthetic_focused,t_vgp,training_time,3.643803612503689,0.1402461157196698
yacht_focused,gpr,mae,0.2828256612849719,0.19535106067219374
yacht_focused,gpr,nlpd,14.224217995728623,52.840634307312044
yacht_focused,gpr,rmse,0.5967367333565349,0.3080308665982662
yacht_focused,gpr,training_time,1.3302125875023194,0.2695528296261434
yacht_focused,rtgpr_irq,mae,0.10322593341754815,0.06203632234758047
yacht_focused,rtgpr_irq,nlpd,-24.918345620132254,42.740967827017116
yacht_focused,rtgpr_irq,rmse,0.27364208192777373,0.16238591908888741
yacht_focused,rtgpr_irq,training_time,1.437515541596804,0.3703151967960392
yacht_focused,t_vgp,mae,0.2496215852254667,0.08199046890469332
yacht_focused,t_vgp,nlpd,27.898043325835978,34.37944113711579
yacht_focused,t_vgp,rmse,0.6966913132620695,0.23350241831219817
yacht_focused,t_vgp,training_time,8.097706950095017,4.284387742853536
